P10790390X0000|67 75|mod ( mdg4 )
P01828248A0189|123 134|UvrAB complex
P08618433A0000|76 97|tyrosine kinase receptor
P10229682A1151|156 166|NF-IL-6 site
P11550795A2583|119 128|Fas-ligand
P08794869A0274|46 53|PKC-zeta
P10080901A0271|105 122|ribosomal protein L9
P11160929T0000|36 63|LAGLIDADG homing endonucleases
P09211913A0000|183 188|CYP1A1
P11390395A1018|13 18|HMGI-C
P09789025A0149|51 53|SRF
P09723896A0000|87 125|peroxisome proliferator-response elements
P10232600T0000|0 23|Prostate-specific antigen
P08288633A0144|100 104|CeGAP
P09873060A0901|101 104|JunD
P10428811A0628|98 102|GRK-2
P08454858A0285|0 7|Ig-alpha
P07476963A0000|0 40|Peroxisome proliferator-activated receptors
P09751114A0967|18 21|MyoD
P07783641A0591|0 3|CodY
P11094073A0000|73 104|Ros receptor protein tyrosine kinase
P08499916A0000|26 40|type VII collagen
P10516878T0000|14 31|dopamine D2 receptor
P01783088A1136|126 136|fibronectin
P07910716A0359|140 151|rIFN-alpha 2 b
P06755468A0180|41 44|cobA
P10228009A0600|28 32|IL-17
P09099745A1446|102 104|p27
P00030183T0000|33 38|HLA-B5
P07565685A0420|60 68|GABP beta 1
P09725854A1060|184 189|orf107
P11160307A0394|226 228|Fab
P11113201A1114|0 3|Pmt2
P11018028A0263|126 131|RasGEF
P08471629A0816|119 129|Histone IIIS
P08784787A0383|28 31|PAR2
P11207308A0999|138 158|c-Jun N-terminal kinase
P10933728A1398|191 208|CBF1 binding element
P09015757T0000|103 105|BSP
P10801330A1714|133 135|FAK
P11160860A0662|181 192|IkappaBalpha
P08946166A0568|44 51|FRDS gene
P08663219A0246|37 76|CAAT enhancer-binding protein consensus site
P07477245A0625|41 58|aflatoxins B1 B2 G1 G2
P08432137A0000|191 212|pleural interferon gamma
P11075944A0691|45 48|fgf8
P10406464A0687|64 74|TRAP complex
P09914500A0000|139 151|interleukin-1
P10395920A1424|99 105|KGF gene
P08763953A0805|14 17|traA
P02689439A0402|177 186|rat Yb2 gene
P09400613A0594|19 30|PKR ( 1-515 ) WT
P10908317A1459|95 98|rtER
P07565104A0084|18 26|pilin gene
P10051488A1293|17 20|AP-1
P10380878A0542|114 131|histone deacetylase
P08940298A0962|89 104|estrogen receptor
P07876210A0751|95 103|small gene
P08657157A0000|37 45|POU domain
P01373374A0735|67 70|GBF1
P10542274A1376|81 97|caveolin-1 protein
P08661100A0285|68 74|App gene
P08810278A0682|68 71|CRKL
P10585491A0945|53 81|wild-type AtpC promoter sequence
P07935451T0000|116 118|p65
P09108038A1128|8 16|LRR domain
P08825636T0000|72 75|p105
P08134115A1161|0 5|MSSP-1
P08663000A0000|134 142|TGF-beta1
P10562456T0000|49 65|growth hormone gene
P09368026A0435|49 58|OC promoter
P08960827A1169|83 98|human insulin gene
P09914525A0890|0 13|Recombinant Ffh
P09473040A1303b|9 16|alcR gene
P09079928A1319|139 153|LysR superfamily
P01997465A0276|58 65|collagen
P10613874A0663|143 146|GlnR
P02052592A0000|285 293|TNF-alpha
P09869297A1807|56 64|Hoxb1 gene
P11359568T0000|62 66|parAB
P07959011A0379b|39 55|rat class-I ADH gene
P02685331A0523|3 24|R. meliloti nifH promoter
P03888621A0185|20 30|hydrogenase
P09632734A0081|125 134|Rab3 family
P10407269A0000a|51 55|cdc14
P10218109T0000|34 57|MutT pyrophosphohydrolase
P10473598A0691|0 4|Skn-1
P11011139A0000|91 105|RNA polymerase II
P07616569A0168|245 248|rps3
P09950213A1660|132 140|TbetaRIII
P09234717A0000|115 145|receptor-coupled tyrosine kinases
P11285235A0466|85 95|GATA factors
P08575618A1138|0 4|RNase
P10965135A1207|116 118|MKK
P08086450A0467|62 70|hATP1 gene
P09368026A0435|70 87|luciferase reporter
P10077188A1172|16 33|helicase-like genes
P03296212A0603|23 32|interferon
P10627532A0739|25 25|Z
P09371622A0779|18 28|IE1 peptides
P09159183A0119|33 36|OBFs
P02179815A0582|79 86|p68 c-rel
P03894482A0549|30 47|serum IgE antibodies
P01285009A0000|187 189|cBA
P08921387A1182|82 85|GPR2
P10679922A1110|69 87|tumor suppressor gene
P10964995A2152|141 145|HER-2
P02826127A0709|72 105|lymphoid cell-specific protein oct-B2
P09456312A1064|37 43|RanGAP1
P08643111A0855|3 14|humanized LL2
P10874044A0647|78 81|JNK1
P11410679A0000|92 114|LOX recognition sequences
P09006936T0000|27 46|actin-binding protein
P10523647A1001|110 124|AP-1 target genes
P02493644A0588|117 134|serum growth factors
P09278441A1777|65 87|atrial natriuretic factor
P07872673A0332|41 45|c-fos
P02580830A1131|61 72|human AFP gene
P11094066A1194|84 87|PI3K
P11145887A1393|68 72|Fra-2
P10598101A0000|15 32|bZIP protein Opaque2
P01549118A0000|3 40|Caenorhabditis elegans vitellogenin genes
P08387507A1015|15 19|Myf-5
P09514260A1083|10 21|small inteins
P09426595T0000|0 28|Lysine-ketoglutarate reductase
P01762917A0615|80 85|TFIIIA
P08892859A0563|142 152|c-myb allele
P07981143A0633|40 45|IL-4RE
P02868446A0184|50 59|DNA primase
P09199318A1147|56 80|smooth muscle alpha-actinin
P08396261A0388|155 169|adenylyl cyclase
P10839547A0978|23 26|CTCF
P08979089A1197|171 186|Ig kappa enhancers
P09763470A0000|25 27|DBH
P08254738A0428|181 197|wild-type T antigen
P09832518A0615|38 49|Cdc68 protein
P01701088A1335|64 74|AP-2 element
P09920930A0959|8 14|C3 toxin
P09990507A0000|55 69|ubiquitin ligase
P02229068A0156|35 37|tat
P07500950A0000|18 22|trolC
P07476963A0000|51 68|retinoid X receptors
P10713175A1399|131 133|p53
P10773351A0672|11 14|CD86
P08212571A0971|122 131|tat mutants
P06321505A0401|193 202|rat PTH mRNA
P02339447A0162|104 105|E1
P01898928A0260|110 131|Escherichia coli fur gene
P07835886A0894|173 202|corticosteroid-binding globulin
P09572491A1044|50 56|p53 gene
P11113179A0541|42 44|CBP
P09931118A1072|10 15|p42/44
P09191052A0850|49 65|Class I Hox proteins
P09422727A0196|67 80|protein kinase A
P08474464A0348|35 36|TR
P11319098A0164|64 67|SecE
P11203702A1307|5 10|Xlim-1
P10773951A0000|0 2|IgM
P11331596A0710|39 42|Mena
P07983715A0996|109 118|P4 promoter
P11323411A0505|56 59|SHP2
P07516337A1119|96 103|anti-CD3
P11413148A0573|40 49|SH3 domains
P09737453A0557|57 69|IgG antibodies
P08483479A1056|37 52|collagen promoter
P09523551A0367|65 89|G protein-coupled receptors
P07667097A0267|16 19|p255
P09712898T0000|0 18|Tumor necrosis factor
P11313342A0224|140 142|PAP
P02557217A0000|15 18|ACTH
P01531632A0000|92 102|fibrillarin
P09050849A1459|76 85|Sec7 domain
P10679065A0711|209 241|CREB serine 133 phosphoacceptor motif
P03001645A0785|3 7|pet56
P09819391A1123|36 50|tyrosine kinases
P02376023A0307|126 128|IgE
P09466267A1192|5 15|himA mutants
P10933728A1398|44 47|CBF2
P10938109A1361|18 24|PKCbeta
P08763953A0805|19 22|traF
P08248246A0838|126 131|R1 gene
P07666414A0614|30 38|tmy-1 gene
P09278441A1160|21 28|CARP mRNA
P06953957A0503|7 20|creatine kinase
P08355697A0000|69 72|PTKs
P02877124A0000|92 101|H1 receptor
P11704829A0312|74 78|mda-7
P09774662A0958|3 13|ARF promoter
P08806491A0542|28 35|ODV-EC27
P09638485A0111|47 74|leukocyte alkaline phosphatase
P11516890A0236|40 42|CYP
P09115395A0478|338 351|RNA helicase WM6
P11432776A0421|46 50|Graf2
P07963540A0795|0 23|Recombinant I-kappa B alpha
P07754713A0227|38 41|CDC6
P08264631A0746|56 58|TAD
P07516466A1054|38 63|simian virus 40 small t antigen
P01671675A0483|197 210|CAD polypeptide
P08001966A0563|66 68|CNC
P11029467T0000|84 117|nuclear factor-kappa B-dependent gene
P02844767A0191|42 51|petCA genes
P09271394A0558|54 56|Mu1
P10702285A0855|235 239|GLUT4
P09804779A0000|25 34|Stat family
P09182707A0254|73 75|FAK
P10209031A0832|74 82|Fyn kinase
P11278583A0873|186 189|Grb2
P08647086T0000|56 63|cyclin D1
P01995951A0000|114 116|Sp1
P11319098A0164|141 144|PkwR
P09704857T0000|30 32|CD4
P07883167A0157|24 27|UPF1
P11463359A0167|93 106|luciferase gene
P02055484A0538|40 43|ATG1
P02034676A0267|18 30|rhombotin gene
P09767593A0130|8 11|YopH
P01285009A0000|90 109|mouse metallothionein
P02483210A0000|40 46|amylase
P11851941A0372|117 127|haemoglobin
P08628681A0821|73 75|exo
P01699944A1538|137 140|VLC1
P09566871A0343|104 107|FUS3
P08304342A0605|194 202|HLA-F loci
P02541251A1327|9 14|T2 gene
P07835886A0894|3 17|kallistatin gene
P07916327A0250|27 44|human goosecoid gene
P06810694A1000|0 5|Apo A-I
P10861086A0259|98 100|Csk
P10446998A0955|103 107|c-fos
P07816808A1102|27 42|STR family of genes
P08573083A0645|122 124|USF
P09649501A0358|36 58|HSF1 trimerization domain
P07533880T0000|33 48|FinP antisense RNA
P11287611A0802|6 14|PPARgamma
P07872673A0332|107 115|c-fos gene
P08183915A0000|83 91|NF-kappa B
P11062067A0000|31 35|SAPK1
P08383492A1205|177 193|c-type cytochromes
P01644814A0068|30 32|tax
P10865838A0000|32 35|VEGF
P11235817A0000|3 21|histamine H1 receptor
P11018028A0263|62 64|PKA
P09139892A1150|27 38|vfr promoters
P02154599T0000|3 19|zta transactivator
P11260468A1179|80 84|papBA
P09092493A0861|42 45|AP-1
P11056007A0224|180 183|rMTM
P10232600T0000|25 27|PSA
P11040101A1180|48 55|VEGF gene
P02183467A0668|199 199|W
P02895472A0178|85 87|BiP
P01531632A0000|111 114|NSR1
P11256962A0233|227 238|GlyR beta mRNA
P08576131A0151|58 69|USF2 isoforms
P09278494A0762|21 31|ETS proteins
P11023832A1038|121 150|mitogen-activated protein kinase
P09566871T0000|29 31|Ty1
P09168134A0858|66 73|Sm-E gene
P03190481A0292|10 31|alpha-naphthyl esterase
P10350638A0000|9 25|carboxypeptidase A
P07990136A1124|50 55|polIII
P09819411A0897|70 85|Ets-binding sites
P08129955A0572|14 22|troponin T
P11371343A0125|83 89|securin
P08812106T0000|0 7|PCNA mRNA
P10367646A0569|123 145|alanine aminotransferase
P11160096A1067|28 40|wild-type fliF
P09971776A0838|87 89|Nef
P04746559T0053|12 16|renin
P01000378T0000|33 39|insulin
P09427544A0000|37 48|pectate lyase
P10561095A2141|71 80|calcitonin
P10629035A0827|105 114|telomerase
P02107548A0727|105 111|psi ARF 4
P08542027A1471|88 91|CD44
P08760286A0696|235 237|JNK
P08522511A1250|24 28|lyase
P02164585A0814|43 49|tra gene
P08892755A0186|48 60|mammalian JAK1
P09365201A2018|82 90|aromatase
P10390158A1150|37 41|Pit-1
P10429946A0473|139 154|CRE-like elements
P09862496A0187|49 56|betaGLU I
P07507207A0991|124 128|IRF-1
P02188168A0000|98 116|anti HIV-1 antibodies
P09575143A1189|184 186|TCR
P09918715A1158|80 82|TBP
P11207282A0729|57 69|chicken Notch1
P07983715A0996|160 162|USF
P07018810A0002|0 10|Plasma renin
P08634423A0498|53 60|lacZ gene
P09395525A0395|162 175|IGF-I promoter 1
P11133741A0617|73 94|NF-kappaB-binding sites
P06698047A0445|64 66|TRH
P09694869A0932|41 45|STATs
P09712859A1110|30 35|NF-AT4
P09784245T0000|0 28|Cardiac myosin-binding protein C
P01333053A0110|22 43|steroid hydroxylase gene
P09119031A1036|92 108|core RNA polymerase
P11279324A0710|40 53|creatine kinase
P09829836A0000|131 134|CDKs
P08900190A0430|37 62|immediate early gene products
P02175433A0575|51 60|mutant gene
P09005273A1558|126 146|butyrylcholinesterase
P10490639A0000|39 67|cyclin-dependent protein kinase
P09566918A1115|164 185|ISRE regulatory elements
P01527020A0511|140 146|rat gene
P09045636A0789|0 2|CD3
P07512258A0441|138 142|G-CSF
P09148929A0372|106 114|Ctpct gene
P07174122A0000|20 22|SCK
P09058378A1134|81 83|p53
P09209406A1021|110 118|c-cbl gene
P01563343A0548|55 65|CAB promoter
P09477316A0140|38 44|Hox gene
P07844142A0640|99 105|SR alpha
P07791783A0000|0 14|SRY-related cDNA
P09328349A1679|89 105|alpha-subunit gene
P10542281A0382|130 137|G1 domain
P09599897A0000|209 211|CRP
P10329736A0681|45 49|mIRS3
P10556028A0292|148 151|BD-1
P11323411A0505|154 164|C-SH2 domain
P10713176A0422|120 124|v-Jun
P08072547A0690|61 65|c-Jun
P11274357A0724|119 122|Rac1
P08840501A0345|78 81|ACT4
P07616569A0168|42 58|cytochrome oxidase
P11350812A0829|104 112|caldesmon
P09733794A1323|62 64|Bax
P08524294A0652|3 11|skp1+ gene
P09660823A0934|57 67|p70 S6 kinase
P07521009A0377|18 21|pms2
P03540591A0330|64 76|P0 transcripts
P07890674A0916|17 19|APC
P09917064T0000|11 13|p82
P10485470A0242|24 26|Sp1
P01552853A1377|19 22|virF
P11114718A0349|93 100|cyclin D1
P03026915A1024|107 110|lacZ
P09271417A1011|39 44|NRRE-1
P03682805A0375|33 50|coagulation protein
P08522511A1578|66 83|beta-glucuronidase
P10560997A1072|30 31|LH
P09537375A0198|3 20|gntR deletion mutant
P08649389A0692|138 151|human c-myc gene
P01294345A0591|128 136|prolactin
P09789025A0149|20 27|Galpha13
P10965135A0735|70 72|ras
P08455611A0154|40 44|HS-40
P02739739T0000|0 22|COUP transcription factor
P09218775A1229|10 14|palgD
P07646439A0535|91 96|mAb F11
P09321657A0439|69 81|cox3 promoters
P08626325A0543|50 53|UmuD
P07853488T0000|136 150|P1 capsid protein
P08025669A0724|62 68|sigma 54
P10471746A1102|7 10|MyoD
P00445259T0000|5 12|ferritin
P10370778A0000|8 16|aromatase
P09512550T0000|0 2|E1A
P09763446A1234|3 5|GEF
P10648020A0151|8 26|Von Willebrand factor
P09642214A0244|30 56|protein-tyrosine phosphatase
P09241232A1154|86 89|Ogg1
P11158288T0000|82 85|CREB
P11042204A0186|62 70|p38 kinase
P10406466A0000|69 88|retinoic acid receptor
P08534848A0188a|8 17|NR isoforms
P09407090T0000|29 37|human gene
P03015628A1078|0 10|Osteocalcin
P11309389A0273|122 136|metalloprotease
P09233801A1180|57 64|TGF-beta
P09135928A0912|78 90|angiotensin II
P07644466A0578|61 82|serine proteinase domain
P08148463A0000|154 165|interleukin 3
P09685226A0000|9 18|calcitonin
P09020138A0833|11 13|Cas
P10580438A0508|68 71|G4RE
P08808275A1193|62 75|mammalian genes
P07730337T0000|92 101|RC3 protein
P09121432A0000|3 37|Ras guanine nucleotide-binding protein
P02324104A0929|133 141|C pre-mRNA
P02105497A1092|86 93|BiP genes
P09789025A0149|35 41|Galphai
P11112700A1936|0 6|Plectin
P01845885A1003|39 44|UL26.5
P01140184A0342|48 61|epoxide hydrase
P09278494A0762|15 17|Sp1
P09861365A0000|3 7|Og4C3
P07799931A1232|12 29|Maf-related protein
P10681562A0263|76 106|dominant-negative mutant receptor
P10429184A0000|0 8|Expansins
P10725433A0543|145 164|CREB-binding sequence
P09651383A0967|217 226|apoCII gene
P07642544A0868|127 135|NF-kappa B
P03033283A0837|54 61|IE68 gene
P10406462A1127|40 44|SRC-1
P01671675A0905|76 82|CAD gene
P02046202A0625|26 28|IgA
P10811908A0938|87 90|NCLK
P01850105A1093|95 96|Id
P10541432A0185|57 59|EGF
P10207041A0065|135 157|cyclin-dependent kinases
P10359664A0579|21 24|Cdk2
P11511544T0000|15 43|heat shock transcription factor 1
P10521443A0486|93 101|NF-kappaB
P10780883T0000|115 130|interferon-alpha
P08106087A0139|26 38|27 kDa zein gene
P06322183A1070|90 101|NPT II protein
P09087430A1046|15 24|U1A peptide
P09633879A0246|56 63|ferritin
P09826434T0000|73 77|PDE3A
P10488148A0111|0 8|NF-kappaB
P10464310A0218|34 36|Crk
P10713176A0422|0 6|Cyclin A
P10564479A0384|54 62|fds operon
P07949164A0799|90 101|IL-6 promoter
P02123877A1452|29 38|egr-1 mRNAs
P01321337A0318|156 175|mammalian calcineurin
P09367676A1115|48 53|Tbxas1
P07799925A0526|35 37|p62
P10613874A0663|150 161|GlnA proteins
P01469042A0355|5 14|CENP-B gene
P07528772A0616|67 69|TCR
P10026784A0929|100 114|POU-homeodomain
P08383492A1205|136 167|cyanobacterial cytochrome oxidases
P02674327A0493|3 11|p34.8 gene
P07838156A0789|169 176|ROR alpha
P02344529T0000|24 53|recombinant human erythropoietin
P07528772A0616|319 337|CD3 epsilon TAM motifs
P09802206A1058|97 100|RPS7
P02163382A0169|144 152|lac operon
P03139750A0000|40 49|VH allotype
P01699944A1538|164 173|c-fos genes
P09204570A0110|22 32|MADS box gene
P08935991A0844|45 53|human CA IV
P07592730A0204|32 36|PTX-3
P08931991A1026|34 36|E2F
P10542249A0415|95 121|CAAT enhancer-binding protein
P10347220A1477|116 137|RNA guanylyltransferase
P08995410A1109|144 146|p36
P09794795A0183|248 252|STAT1
P07980440A0138|107 113|insulin
P01326329A0703|44 50|CAP site
P10585453A1029|158 163|hGH LCR
P08702936A0168|167 173|CD4 cDNA
P11438654A1237|49 53|c-Met
P07557387A0241|38 46|C / EBP beta
P08345191A1140|116 119|MCL1
P10223338A1601|96 104|HIV-1IIIB
P01398073A0986|42 65|multisubunit TFIID protein
P11410664A0963|185 189|hOGG1
P10825294A0473|63 65|MDR
P07689154A0168|165 171|uPA mRNA
P11038118A0000|105 122|bovine serum albumin
P00780639X0000|0 22|Carcinoembryonic antigen
P09029091A0881|58 77|phospholipase C gamma 1
P07494293A0585|101 103|Lck
P11160683A1220|83 88|CREB-1
P08395014A1364|114 117|PPZ2
P10329586A0414|12 22|fibronectin
P11150315A1126|0 2|NGF
P06287212A1352|101 103|VP1
P07758459A1277|171 198|ABF1 consensus binding sequence
P11340080A0096|61 64|Rad9
P01977585A0222|121 147|cAMP-dependent protein kinase
P09315631A1064|166 187|delta por1 single mutants
P09705258A0837|109 131|Escherichia coli lacZ gene
P01655713A0294|95 97|Tn1
P08356792A1275|46 49|Rex1
P02123029A0478|16 48|Raja immunoglobulin heavy chain genes
P08466864A0878|140 143|CREB
P10364314A0919|70 76|NS2 gene
P07753796A0743|67 77|eIF-2B alpha
P05567721T0000|15 29|thromboplastins
P01285009A0000|161 164|rCCK
P09736697A0783|59 62|ERKs
P09155015A0140|73 95|atrial natriuretic factor
P10704499A0682|164 166|MEK
P09765388T0000|14 16|p53
P02076816T0000|82 95|IME1 transcript
P09949178A0264|47 50|IL-6
P11053370A0708|102 104|GST
P02763467A0903|259 264|N1L ORF
P09640162A0242|27 56|pituitary-derived growth hormone
P02123467A0811|81 85|MyoD1
P07647303T0000|3 18|homeobox gene ATK1
P09882348A0611|56 69|tyrosine kinase
P10430890A1059|5 12|elongin C
P02572777T0000|0 19|Tumour necrosis factor
P03192537A0370|172 183|human protein
P09880029A0703|41 43|Rep
P10542274A1376|41 43|PKA
P11313386A0704|36 39|CD40
P08676456A0879|72 75|AP-1
P08138180A0593|90 101|SPT10 protein
P09832505A0903|57 61|Oct-1
P07831799T0000|49 101|DNA polymerase gene of Bombyx mori nuclear polyhedrosis virus
P11160738A1414|8 22|anti-interferon
P09840943A0144|32 39|cyclin E2
P08939966A0816|68 72|SEC-1
P08915508A0000|253 260|protease
P11108720A1130|120 123|S6K2
P09735286A0599|68 77|Mu B protein
P01588961A0000|0 3|STP1
P09722508A0953|30 42|Galpha11 Q209L
P09359844A0674|10 23|HSL transcripts
P07891713T0000|74 97|NF-E2 transcription factor
P10579722T0000|45 61|myosin phosphatase
P11150315A1126|10 12|EGF
P07828584A0681|53 70|AP1 bearing promoter
P10095062A0558|38 66|human topoisomerase IIalpha gene
P09886850A0145|28 36|PPARgamma
P10430883A0000|293 313|horseradish peroxidase
P09884747A0477|192 194|IgE
P10529354A0375|87 98|P28 complexes
P01420363A0818|120 136|nuclear AP1 factors
P01398104A0834|17 21|CBF-A
P07871891A0227|0 4|SUP46
P08350061A0209|54 60|CD8 gene
P08763953A0805|66 69|traG
P09388200A0639|100 104|c-fos
P02115122A0562|80 84|c-Fos
P04085589A0264b|94 106|serum lysozyme
P07926748A0383|0 3|NOT4
P02832293T0000|8 13|CRF-41
P01900194T0000|19 55|mitochondrial NADH-ubiquinone reductase
P08977401A0227|3 13|RI alpha gene
P08244034T0000|95 111|metalloproteinase
P10913276A0684|67 76|PLC-gamma1
P01863887A0174|135 141|insulin
P08618433A0000|118 122|FLK-2
P07538122A0800|37 47|Fab fragment
P09373155T0000|16 36|dynein heavy chain genes
P09413375A1486|51 54|IL-6
P09556566A0174|26 28|VDR
P08533472A0777|157 194|human interleukin enhancer-binding factor
P09199292A0536|38 41|p107
P09973607A0254|138 146|Sp100 gene
P06972179A0556|8 10|IgE
P08253387A1291|91 106|TCR alpha enhancer
P10982825A0363|49 63|Mot3 binding site
P09920903A1045|50 56|p53 gene
P08406497A0000|19 22|FBN1
P09891009T0000|18 38|mouse glycolate oxidase
P10567430A0785|189 192|GRK6
P09506962A1000|101 103|YY1
P07760790A0327|82 89|MEF2 site
P10477597A0126|0 4|TRAF2
P10544037A0617|0 3|FZD4
P07836218A0128|35 48|beta-endorphin
P07604047A0704|245 248|GA19
P08382300A0341|116 119|VP23
P10713083A0560|61 64|TraM
P10491187T0000|144 147|ptsH
P09920930A0521|26 29|RhoA
P10669594A0000|30 33|AgfA
P10323863A0852|49 69|recombinant telomerase
P08649773A1374|12 16|BCL-6
P08471629A0816|49 71|Ca-dependent PKC isotypes
P10747782A0390|13 16|Mbp1
P08308008A0201|59 62|GABP
P11133830A0174|160 178|proto-oncogene c-Cbl
P11250942A0626|20 22|VDR
P01317376A0981|0 11|Fructokinase
P09279379A0310|120 133|H2B histone gene
P08861963A0375b|117 124|cAMP-CRP
P11016954A0438|0 3|AGO1
P08325883A0368|24 34|RBP1 protein
P10933732A0000|32 36|HHV-8
P10541432A0185|104 114|Shc proteins
P10628748A0746|50 70|SF-1 regulatory element
P10585440A0204|50 55|DFak56
P01757341A0591|127 145|alkaline phosphatase
P08626785A0674|33 62|tissue transglutaminase promoter
P09079625A0935|69 71|PKC
P09346938A1680|127 140|cathepsin B mRNA
P10793143A1533|106 109|Cdc6
P08798610A0843|109 114|Cdc42H
P01735721A0185|110 120|E. coli TyrTS
P10683244A0939|31 41|NBF2 protein
P09882321A0948|137 146|EBNA-3 cDNA
P07498727A0724|24 27|rev3
P09780228A0613|61 64|FkbA
P09224811A0000|246 254|P450R mRNA
P10517672A1417|112 115|CTF1
P10428759A0743|26 39|receptor kinase
P10762254A0954|14 34|TMA methyltransferases
P08524267A1022|45 73|wild-type prothymosin alpha gene
P02480959A0470|148 160|gonadotropins
P02111015A0574|134 138|IRF-1
P10936051T0000|3 7|RS447
P07628438T0000|3 34|Drosophila insulin receptor homolog
P07914192A0211|45 50|DNase I
P08386318A1102|154 156|Ras
P11134508A0317|62 66|AtHD1
P07498727A0724|73 84|rad18 mutator
P08290278A0374|10 13|Mxi1
P08700531A1420|163 170|cph locus
P08355697A0000|0 26|Protein tyrosine phosphatases
P01826043A0431|178 197|protein kinase C family
P07791764A0357|39 41|Cbl
P07535768A1076|80 83|PAC1
P09420275A1111|60 72|CD23 promoters
P09892736A0343|141 144|ORC1
P10446998A0375|106 110|c-fos
P08336543A0243|27 36|L1 elements
P08912807A0411|139 157|beta-casein promoter
P08542027A1471|53 59|LU genes
P10320480A0451|95 113|E. coli RNA polymerase
P09132061A0828|73 86|isoperoxidases
P09731704A1472|120 125|ERELuc
P09733815T0000|50 70|protein tyrosine kinase
P09261178T0000|8 47|extracellular signal-regulated kinase 2 gene
P03133250A0000|106 137|human follicle-stimulating hormone
P02162467A0311|10 13|cytR
P09199318A1147|26 30|actin
P11044097A0422|13 27|recombinant HMG I
P07753837A0724|30 39|desmoglein
P11763176A0918|26 37|antithrombin
P09886843A0339|20 28|human gene
P09393706A1171|5 7|Fis
P09502720A0214|0 4|CyIIa
P02398897A0000|43 57|RNA polymerase II
P11226752A0750|203 213|human Notch1
P09268638A0332|62 67|D8S260
P02237431A0833|69 75|T alpha 2
P04246054T0028|61 65|RAMLG
P08977235A0588|93 97|STAT1
P09294471A1198|22 24|CD4
P09305755A0540|191 193|AP1
P10349084T0000|71 84|immune globulin
P06325415A0757|129 138|Ad5 protein
P10913304A0894|67 69|PE1
P11202434T0000|91 95|ACBP2
P01353478T0000|24 41|IAP retrotransposon
P10366446A0893|90 95|FLI LRR
P10224257A0079|13 17|her-1
P09797456A0883|0 4|AMY-1
P08294429A0153|73 104|chloramphenicol acetyltransferase
P08114710A0137|81 85|TFIID
P01967130A0645|16 23|EFIA cDNA
P07678006A0472|106 119|CaM PDE isoforms
P08806693A0584|140 149|luciferase
P10392903A0889|61 66|cdc25B
P10722661A0406|89 92|CRKs
P11556809A2085|161 170|P450 enzyme
P10029337A0406|101 119|serum creatine kinase
P10938109A1361|80 82|EGF
P09858599A0392|112 114|PBX
P08160905A0217|59 63|HBsAg
P08394019A0695|52 54|SH3
P08627719A0784|250 253|IE63
P00622556A0111|16 23|collagen
P08051102A0532|20 52|rAC-st myosin light chain phosphatase
P08125319A1085|3 11|ipiO genes
P02714852T0000|60 71|HLA-B alleles
P01309894A0807|4 8|Rep78
P10585453A1029|10 19|Pit-1 sites
P09701609A0116|66 71|PhLOP1
P07487908A0230|93 95|CAT
P11368363A0129|65 84|human myeloperoxidase
P09192769T0000|120 124|CCR-4
P10441506A0098|0 6|PKNbeta
P10910908A0767|91 93|EPO
P08627649A0734|198 200|Sp3
P09531559A1153|113 120|occludin
P10614857A0584|95 97|IFN
P07768953T0039|0 3|EEA1
P10954913A0152|31 51|Atlantic halibut Mx gene
P08124912A0456|71 73|LDH
P07565713A0634|16 19|SCS1
P07737118A0317|55 65|LexA protein
P10946303A0000|0 8|TNF-alpha
P10566630A0371|31 35|IGF-I
P09763470A1756|123 125|AP2
P01695098A1116|5 7|IgG
P08037338A0000|46 48|EPO
P09339900A0939|131 135|c-Myc
P01767592A0682|34 51|DNA binding proteins
P04139081T0001|0 13|HL-A antibodies
P07592730A0204|8 20|TSG-14 protein
P01542667A0125|156 177|IFN-gamma-encoding gene
P08922390A2076|150 159|LIM domains
P00342623A0228|49 60|type B antigen
P09414319A1442|14 19|Surf-4
P05794247T0000|34 55|serum lipoprotein lipase
P07844555A0406|20 27|E mu pim-1
P01711041A0962|3 15|C5 alpha-chain
P01907941A0275|13 23|I kappa B beta
P01909027A0922|48 50|ILF
P08546707T0000|30 48|chicken lysozyme gene
P01422265A0263|112 115|IgG4
P09303437A0875|217 223|CAT gene
P03146150T0000|61 73|Pro-urokinase
P06851280A0144|6 15|fibrinogen
P02229068A0156|142 160|nucleolar rev protein
P09632734A0943|7 9|p82
P07525596A0584|122 127|PPIase
P09502720T0000|102 110|CyIIa gene
P10828022A0877|72 74|Shb
P01330309A1134|37 58|myogenin fusion proteins
P09924987A0000|69 81|N-glycosidase
P07958898A1050|132 136|NTF-1
P10871412A0369|79 83|Rz007
P00956554A0414|95 107|IgE antibodies
P11133986A0350|111 113|PIP
P08114745A0953|182 187|pol III
P01656220T0000|79 100|receptor tyrosine kinase
P09488725A0904|37 39|SFD
P10407184A0520|304 319|hbetaAPP promoter
P09130718A0497|44 47|sid1
P08970991A0747|46 48|p53
P10477620A0580|127 139|I kappa B kinase
P09024805A0905b|64 70|Sp1 site
P01649539T0000|29 43|myeloperoxidase
P09311810A0814|61 80|alpha0 deletion mutant
P11292839A0531|25 30|pol III
P09754571A1257|3 11|hBRAG gene
P09211354A0000|0 12|Stromelysin-1
P07961958T0000|0 24|Rat kidney carboxylesterase
P08524241A0212|26 30|HSP82
P09084174A0667|49 52|leuB
P08331728A0686|9 39|U2 small nuclear ribonucleoprotein
P09618481T0000|86 88|Sp1
P09671464A0316|120 123|Snf1
